drug_name,atc,summary,Persistence,Bioaccumulation,Toxicity,Risk
pindolol,C07AA03,No recorded data,see summary,see summary,see summary,see summary
pioglitazone,A10BG03,No recorded data,see summary,see summary,see summary,see summary
piperacillin,J01CA12,No recorded data,see summary,see summary,see summary,see summary
piroxicam,M01AC01,No recorded data,see summary,see summary,see summary,see summary
pivmecillinam,J01CA08,Summary," It cannot be excluded that pivmecillinam is persistent, due to the lack of data"," It cannot be excluded that pivmecillinam bioaccumulates, due to the lack of data"," It cannot be excluded that pivmecillinam is toxic, due to the lack of data"," Pivmecillinam is expected to have low environmental risk for aquatic organisms and low risk of resistance selection in wastewater. However, there is a risk of additive effect with other beta-lactam antibiotics.Environmental information is missing for pivmecillinam on fass.se (2022-12-19). It is voluntary for manufacturers to provide information on environmental impact on fass.se. The risk comes from a report by Goodpoint 2017.For antibiotics in general, it is recommended that these pharmaceuticals are used as restrictively as possible without jeopardise the patient's health"
pizotifen,N02CX01,SummaryHazard 9* , 3 , 3 , 3* , Cannot be excluded
podophyllotoxin,D06BB04,Summary," It cannot be excluded that podophyllotoxin is persistent, due to the lack of data"," It cannot be excluded that podophyllotoxin bioaccumulates, due to the lack of data"," It cannot be excluded that podophyllotoxin is toxic, due to the lack of data", 
polymyxinb,J01XB02,Summary," It cannot be excluded that polymyxin B is persistent, due to the lack of data"," It cannot be excluded that polymyxin B bioaccumulates, due to the lack of data"," It cannot be excluded that polymyxin B is toxic, due to the lack of data", 
posaconazole,J02AC04,SummaryHazard 5 , 3 , 0 , 2 , Insignificant 
potassiumchloride,B05XA01,SummaryRisk. The use of electrolytes is not considered to have any environmental impact. The information comes from Fass.,see summary,see summary,see summary,see summary
pramipexole,N04BC05,Summary, Pramipexole is potentially persistent, Pramipexole has low potential for bioaccumulation, Pramipexole has moderate acute toxicity, The use of pramipexole (sales data Sweden 2021) has been considered to result in insignificant environmental risk. This summary information comes from Fass
prasugrel,B01AC22,SummaryThis summary information comes from Fass. , Prasugrel is degraded in the environment, Prasugrel has low potential for bioaccumulation, Prasugrel has moderate chronic toxicity, The use of prasugrel (sales data Sweden 2016) has been considered to result in insignificant environmental risk
pravastatin,C10AA03,SummaryHazard 4 , 3 , 0 , 1 , Low 
prednisolone,H02AB06,"SummaryFor this summary information, the information on bioaccumulation comes from previous environmental information on the fass.se. Environmental information can be found on fass.se that data are missing for prednisolone from Pfizer (2021-04-20). The risk comes from the report from Goodpoint. "," It cannot be excluded that prednisolone is persistent, due to the lack of data", Prednisolone has low potential for bioaccumulation," It cannot be excluded that prednisolone is toxic, due to the lack of data"," Although both exposure and efficacy data are incomplete for hydrocortisone and prednisolone, there are no strong indications of environmental risk for these two substances. On the contrary, the fish plasma model and reported levels in the environment indicate low risk"
prednisone,H02AB07,SummaryHazard - , - , 0 , - , Cannot be excluded 
pregabalin,N03AX16,SummaryHazard 3* , 3 , 0 , 0* , Insignificant 
prilocaine,N01BB04,"SummaryThis summary information on persistence, bioaccumulation and toxicity comes from the assessment report for Lidocaine/Prilocaine Plethora and Fass. The risk comes from Fass. "," It cannot be excluded that prilocaine is persistent, due to the lack of data", Prilocaine has low potential for bioaccumulation," It cannot be excluded that prilocaine is toxic, due to the lack of data", 
probenecid,M04AB01,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
progesterone,G03DA04,Summary," It cannot be excluded that progesterone is persistent, due to the lack of data"," It cannot be excluded that progesterone bioaccumulates, due to the lack of data"," It cannot be excluded that progesterone is toxic, due to the lack of data", 
proguanil,P01BB01,SummaryHazard 6 , 3 , 0 , 3 , Insignificant 
promethazine,D04AA10,SummaryThis summary information comes from the report by Goodpoint 2017 and Fass (bioaccumulation). ," It cannot be excluded that promethazine is persistent, due to the lack of data", Promethazine has high potential for bioaccumulation," Studies on the toxicity have only been carried out on one specie (water flea shows effects on reproduction at 180 microg/L), that makes a calculation of the environmental risk becomes uncertain"," Promethazine is not as well investigated for effects, but the substance has a fat solubility that indicates high potential for bioaccumulation. However, despite investigations in many countries, including Sweden, promethazine has not been detected in wastewater. The environmental risk of promethazine is therefore considered low"
propofol,N01AX10,SummaryThe data on hazard and risk are based on previous environmental information on fass.se (2011-05-24). Environmental information is missing on fass.se (2021-12-08). It is voluntary for manufacturers to provide information about environmental impact on fass.se. , Propofol is potentially persistent, No significant bioaccumulation potential, Propofol has moderate chronic toxicity, The use of propofol (sales data Sweden 2009) has been considered to result in low environmental risk
propranolol,C07AA05,Summary, Propranolol l is degraded in the environment, Propranolol has low potential for bioaccumulation, Propranolol has very high chronic toxicity, The use of propranolol (sales data Sweden 2017) has been considered to result in insignificant environmental risk. This summary information comes from Fass. The risk is confirmed by the report from Goodpoint and the assessment report
prucalopride,A06AX05,Summary, Prucalopride is persistent, Prucalopride has low potential for bioaccumulation, Prucalopride has moderate chronic toxicity, The use of prucalopride from a European perspective has been considered to result in insignificant environmental risk.This summary information comes from assessment report for Resolor (prucalopride) 2015
pseudoephedrine,R01BA02,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
pyridostigmine,N07AA02,SummaryHazard 6* , 3* , 0 , 3 , Cannot be excluded 
pyrvinium,P02CX01,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
quetiapine,N05AH04,Summary, Quetiapine is slowly degraded in the environment, Quetiapin has low potential for bioaccumulation, Quetiapin has moderate chronic toxicity, The use of quetiapin (sales data Sweden 2021) has been considered to result in insignificant environmental risk. This summary information comes from Fass
quinagolide,G02CB04,SummaryHazard - , - , - , - , Cannot be excluded 
quinapril,C09AA06,SummaryHazard - , - , - , - , Cannot be excluded
rabeprazole,A02BC04,SummaryHazard 5* , 3* , 0 , 2 , Insignificant 
raloxifene,G03XC01,SummaryHazard 8 , 3 , 3 , 2 , Cannot be excluded 
ramipril,C09AA05,"SummaryThis summary information about persistence, bioaccumulation och toxicity comes from Fass. For the risk, see the report by Goodpoint. ", Ramipril is potentially persistent, Ramipril has low potential for bioaccumulation, Ramipril has low acute toxicity," Although the environmental risk is highest for ramipril (comparative environmental risk assessment using enalapril, ramipril, lisinopril and captopril from a Swedish perspective), the overall evidence for environmental risk is still low"
ramucirumab,L01XC21,SummaryHazard - , - , - , - , Exempt
ranibizumab,S01LA04,SummaryHazard - , - , - , - , Exempt
ranitidine,A02BA02,SummaryHazard 4 , 3 , 0 , 1 , Insignificant 
rasagiline,N04BD02,SummaryHazard - , - , - , 3* , Cannot be excluded 
rasburicase,V03AF07,SummaryHazard - , - , - , - , Exempt
reboxetine,N06AX18,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
regorafenib,L01XE21,SummaryHazard 9 , 3 , 3 , 3 , See below 
remifentanil,N01AH06,SummaryThe data on hazard and risk are based on previous environmental information on fass.se (2013-08-16). Environmental information is missing on fass.se (2021-12-08). It is voluntary for manufacturers to provide information about environmental impact on fass.se. , Remifentanil is slowly degraded in the environment, Remifentanil has low potential for bioaccumulation, Remifentanil has moderate acute toxicity, 
repaglinide,A10BX02,Summary, Repaglinide is potentially persistent, Repaglinide has low potential for bioaccumulation," Repaglinide has low chronic toxicity. However, there is only data for one trophic level", 
retapamulin,D06AX13,SummaryHazard 5* , 3 , 0 , 2* , Cannot be excluded 
reteplase,B01AD07,SummaryHazard - , - , - , - , See below
retigabine,N03AX21,SummaryHazard 6 , 3 , 0 , 3 , Insignificant
ribavirin,J05AB04,SummaryHazard 4 , 3 , 0 , 1 , Insignificant 
rifabutin,J04AB04,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
rifaximin,A07AA11,SummaryThis summary information comes from Fass. , Rifaximin is persistent, Rifaximin has low potential for bioaccumulation, Rifaximin has very high chronic toxicity, The use of rifaximin (sales data Sweden 2018) has been considered to result in low environmental risk
riluzole,N07XX02,SummaryHazard 8* , 3 , 3* , 2* , Cannot be excluded 
rimexolone,S01BA13,SummaryHazard - , - , 0 , - , Cannot be excluded
risedronicacid,M05BA07,SummaryHazard 6* , 3* , 0 , 3 , Insignificant 
risperidone,N05AX08,"SummaryThis summary information about persistence, bioaccumulation and toxicity comes from Fass. The information on risk comes from the report by Goodpoint. ", Risperidone is potentially persistent, Risperidone has low potential for bioaccumulation, Risperidone has high acute toxicity, See the report from Goodpoint. Suggestions on how to reduce the emissions of risperidone
ritonavir,J05AE03,SummaryHazard 8 P 3 B 3 T 2 Risk Insignificant This summary information comes from Fass. , Ritonavir is potentially persistent, Ritonavir has high potential for bioaccumulation, Ritonavir has a high acute toxicity, The use of ritonavir (sales data Sweden 2016) gives the risk insignificant
rituximab,L01XC02,SummaryHazard - , - , - , - , Exempt
rivaroxaban,B01AF01,Summary, Rivaroxaban is slowly degraded in the environment, Rivaroxaban has low potential for bioaccumulation, Rivaroxaban has high chronic toxicity," The use of rivaroxaban (sales data Sweden 2020) has been considered to result in insignificant environmental risk. This summary information on persistence, bioaccumaltion and toxicity comes from Fass and the assessment report for Xarelto (rivaroxaban). Information about risk comes from Fass"
rivastigmine,N06DA03,"SummaryThis summary information on persistence, biockumulation and toxicity comes from Fass. The risk comes from the Goodpoint report. "," Rivastigmine is persistent. See comment below under the heading ""Detailed information"" on potentially persistent specified in Fass", Rivastigmine has low potential for bioaccumulation, Rivastigmine has moderate chronic toxicity, The environmental risk is considered to be very low from a Swedish perspective
rizatriptan,N02CC04,SummaryHazard 4 , 3 , 0 , 1 , Insignificant
romiplostim,B02BX04,SummaryHazard - , - , - , - , Exempt
ropinirole,N04BC04,SummaryHazard 4 , 3 , 0 , 1 , Insignificant 
ropivacaine,N01BB09,SummaryThe data on hazard and risk are based on previous environmental information on fass.se. Environmental information is missing on fass.se (2021-10-27). It is voluntary for manufacturers to provide information about environmental impact on fass.se. , Ropivacaine is potentially persistent, Ropivacaine has no significant bioaccumulation potential, Ropivacaine has moderate acute toxicity, The use of ropivacaine (sales data Sweden 2009) has been considered to result in insignificant environmental risk
rosuvastatin,C10AA07,"SummaryThis summary information on persistence, bioaccumulation and toxicity comes from FaSS. The risk comes from the report by Goodpoint. ", Rosuvastatin is degraded in the environment, Rosuvastatin has low potential for bioaccumulation, Rosuvastatin has high chronic toxicity,The risk seems entirely insignificant for the highly water-soluble substance rosuvastatin
roxithromycin,J01FA06,"SummaryThis summary information about persistence, bioaccumulation and toxicity comes from Fass. The information on risk comes from the report by Goodpoint. "," No data available, hence the potential for persistence of roxithromycin cannot be excluded due to lack of data", Roxithromycin has low potential for bioaccumulation, Roxithromycin has very high acute toxicity, See the report from Goodpoint. Suggestions on how to reduce the emissions of roxithromycin
salbutamol,R03AC02,SummaryThis summary information comes from Fass. , Salbutamol is potentially persistent, Salbutamol has low potential for bioaccumulation," Salbutamol has low chronic toxicity. However, data are only available for one trophic level", 
salmeterol,R03AC12,Summary, Salmeterol is potentially persistent, Salmeterol has low potential for bioaccumulation, Salmeterol has low chronic toxicity, The use of salmeterol (sales data Sweden 2019) has been considered to result in insignificant environmental risk. This summary information comes from Fass.se
saquinavir,J05AE01,SummaryHazard 7 , 3 , 3 , 1 , Insignificant
sarilumab,L04AC14,SummaryHazard - , - , - , - , See below
saxagliptin,A10BH03,SummaryHazard 2* , 0 , 0 , 2* , Insignificant 
scopolamine,N05CM05,SummaryHazard - , - , 0 , - , Cannot be excluded 
selegiline,N04BD01,SummaryHazard - , - , 0 , - , Cannot be excluded 
semaglutide,A10BJ06,"SummaryThe active substance semaglutide is a peptide and is not considered to have any environmental impact. However, Fass writes the following: Even though biomolecules, such as vaccines and hormones, are exempted they should still be regarded as biologically active. This summary information comes from assessement reports and Fass.se",see summary,see summary,see summary,see summary
sertindole,N05AE03,SummaryHazard - , - , 0 , - , Cannot be excluded 
sertraline,N06AB06,"SummaryNo new environmental information for sertraline is published on fass.se (2021-06-24). It is voluntary for manufacturers to provide information on the environmental impact on fass.se. This summary information about persistence, bioaccumulation and toxicity comes from previous Fass environmental information. The information on risk comes from the report by Goodpoint 2018. ", Sertraline is slowly degraded in the environment, Sertraline does not have the potential to accumulate in aquatic organisms, Sertraline has very high acute toxicity, See the report from Goodpoint. Suggestions on how to reduce the emissions of sertraline
sevelamer,V03AE02,Summary," It cannot be excluded that sevelamer is persistent, due to the lack of data"," It cannot be excluded that sevelamer bioaccumulates, due to the lack of data"," It cannot be excluded that sevelamer is toxic, since there is not enough data", 
sibutramine,A08AA10,SummaryHazard 6 , 3 , 0 , 3 , Cannot be excluded
sildenafil,G04BE03,Summary, Sildenafil is degraded in the environment, Sildenafil has low potential for bioaccumulation, Sildenafil has high acute toxicity, The use of sildenafil (sales data Sweden unclear) has been considered to result in insignificant environmental risk. The data on hazard and risk are based on previous environmental information on Fass.se (2011-05-12). Environmental information is missing on fass.se (2023-05-24). It is voluntary for manufacturers to provide information about environmental impact on fass.se
simvastatin,C10AA01,"SummaryThis summary information on persistence, bioaccumulation and toxicity comes from Fass. The risk comes from the report by Goodpoint. ", Simvastatin is degraded in the environment, Simvastatin has high potential for bioaccumulation, Simvastatin has very high chronic toxicity," More fat-soluble statins (simvastatin, atorvastatin) may be quite potent and (together with ezetimibe) represent a slightly higher risk than the others, but the levels in the environment are probably well below the concentrations that give rise to effects in Sweden"
sitagliptin,A10BH01,SummaryHazard 4 , 3 , 0 , 1 , Insignificant 
sodiumbicarbonate,B05XA02,SummaryRisk. The use of electrolytes is not considered to cause any environmental impact. The information comes from Fass.,see summary,see summary,see summary,see summary
sodiumchloride,B05CB01,SummaryHazard - , - , - , - , Exempt 
sodiumfluoride,A01AA01,SummaryHazard - , - , - , - , Exempt 
sodiumglycerophosphate,B05XA14,SummaryHazard - , - , - , - , Exempt According to the European Medicines Agency guideline on environmental risk assessments for pharmaceuticals (EMA/CHM
sodiumpicosulfate,A06AB08,SummaryRisk. The use of electrolytes is not considered to cause any environmental impact.The data on risk are based on previous environmental information on fass.se. Environmental information is missing (2023-01-23). It is voluntary for manufacturers to provide information about environmental impact on fass.se.,see summary,see summary,see summary,see summary
solifenacin,G04BD08,SummaryEnvironmental information is missing on fass.se for solifenacin (2021-09-21). It is voluntary for manufacturers to provide information on environmental impact on fass.se. ," It cannot be excluded that solifenacin is persistent, due to the lack of data"," It cannot be excluded that solifenacin bioaccumulates, due to the lack of data"," It cannot be excluded that solifenacin is toxic, due to the lack of data", 
somatropin,H01AC01,SummaryHazard - , - , - , - , Exempt
sorafenib,L01XE05,SummaryHazard 9 , 3 , 3 , 3 , See below 
sorbitol,A06AD18,SummaryHazard - , - , - , - , Exempt 
sotalol,C07AA07,SummaryEnvironmental information is missing on fass.se for sotalol (2021-11-12). It is voluntary for manufacturers to provide information on environmental impact on fass.se. ," It cannot be excluded that sotalol is persistent, due to the lack of data"," It cannot be excluded that sotalol bioaccumulates, due to the lack of data"," It cannot be excluded that sotalol is toxic, due to the lack of data", 
spironolactone,C03DA01,Summary," It cannot be excluded that spironolactone is persistent, due to the lack of data"," It cannot be excluded that spironolactone bioaccumulates, due to the lack of data"," It cannot be excluded that spironolactone is toxic, due to the lack of data", 
streptokinase,B01AD01,SummaryHazard - , - , - , - , Exempt 
sufentanil,N01AH03,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
sugammadex,V03AB35,SummaryHazard 4* , 3 , 0 , 1* , Insignificant
sulfasalazine,A07EC01,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
sulindac,M01AB02,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
sumatriptan,N02CC01,Summary, Sumatriptan is potentially persistent, Sumatriptan has low potential for bioaccumulation, Sumatriptan has low chronic toxicity, The use of sumatriptan (sales data Sweden 2019) has been considered to result in insignificant environmental risk. This summary information comes from Fass
sunitinib,L01XE04,SummaryHazard 6* , 3* , 0 , 3 , Insignificant
suxamethonium,M03AB01,SummaryThis summary information comes from Fass. ," It cannot be excluded that suxamethonium is persistent, due to the lack of data", Suxamethonium has low potential for bioaccumulation," It cannot be excluded that suxamethonium is toxic, due to the lack of data", 
tacrolimus,L04AD02,SummaryThis summary information comes from Fass. ," The potential for persistence of tacrolimus cannot be excluded, due to lack of data"," It annot be excluded that tacrolimus may bioaccumulate, due to lack of data", No data, 
tadalafil,G04BE08,Summary, Tadalafil is slowly degraded in the environment, Tadalafil has low potential for bioaccumulation, Tadalafil has moderate chronic toxicity," The use of tadalafil (sales data Sweden 2020) has been considered to result in insignificant environmental risk. This summary information on persistence, bioaccumulation and toxicity comes from the assessment report and Fass. The risk comes from Fass"
tafluprost,S01EE05,Summary, No data, No data, No data, Cannot be excluded. Environmental information is missing on fass.se for tafluprost (2020-09-07). It is voluntary for manufacturers to provide information on environmental impact on fass.se
tamoxifen,L02BA01,Summary," It cannot be excluded that tamoxifen is persistent, due to the lack of data"," It cannot be excluded that tamoxifen bioaccumulates, due to the lack of data"," It cannot be excluded that tamoxifen is toxic, due to the lack of data", 
tapentadol,N02AX06,SummaryHazard 4 , 3 , 0 , 1 , Insignificant 
tasonermin,L03AX11,SummaryHazard - , - , - , - , Exempt
teicoplanin,J01XA02,SummaryHazard - , - , 0 , - , Cannot be excluded 
telaprevir,J05AE11,SummaryHazard 6* , 3 , 0 , 3* , Insignificant
telithromycin,J01FA15,SummaryHazard 6* , 3 , 0 , 3* , Insignificant 
telmisartan,C09CA07,SummaryHazard 4 , 3 , 0 , 1 , See below 
temozolomide,L01AX03,SummaryHazard 1 , 0 , 0 , 1 , Insignificant 
tenecteplase,B01AD11,SummaryHazard - , - , - , - , Exempt
tenoxicam,M01AC02,SummaryThis summary information comes from Fass. ," The potential for persistence of tenoxicam cannot be excluded, due to lack of data", Tenoxicam has low potential for bioaccumulation, No data, 
terazosin,G04CA03,SummaryHazard 6* , 3 , 0 , 3* , Cannot be excluded 
terbinafine,D01BA02,Summary, Terbinafine is degraded in the environment, Terbinafine has high potential for bioaccumulation, Terbinafine has very high chronic toxicity, The use of terbinafine (sales data Sweden 2020) has been considered to result in low environmental risk. This summary information comes from Fass
terbutaline,R03AC03,SummaryHazard 3 , 3 , 0 , 0 , See below 
teriflunomide,L04AA31,SummaryHazard 4 , 3 , 0 , 1 , Insignificant 
teriparatide,H05AA02,SummaryHazard - , - , - , - , See below
terlipressin,H01BA04,SummaryHazard - , - , - , - , See below
testosterone,G03BA03,Summary, Testosterone is slowly degraded in the environment, Testosterone has high potential for bioaccumulation, Testosterone has very high acute toxicity, 
tetracycline,J01AA07,"SummaryEnvironmental information on tetracycline is not available on fass.se (2020-11-15). It is voluntary for manufacturers to publish environmental impact information on fass.se. The data on persistence, bioaccumulation and toxicity are based on previous environmental information on fass.se. The information on risk comes from the reports by Goodpoint. ", Tetracycline is potentially persistent, Tetracycline has low potential for bioaccumulation, Tetracycline has very high acute toxicity, See the reports from Goodpoint. Suggestions on how to reduce emissions of tetracycline
theophylline,R03DA04,SummaryHazard - , - , 0 , - , Cannot be excluded 
thiamazole,H03BB02,Summary," It cannot be excluded that thiamazole is persistent, due to the lack of data"," It cannot be excluded that thiamazole bioaccumulates, due to the lack of data"," It cannot be excluded that thiamazole is toxic, due to the lack of data", 
thiethylperazine,R06AD03,SummaryHazard 6 , 3 , 0 , 3 , Insignificant
thiopental,N01AF03,SummaryHazard - , - , - , - , Cannot be excluded Manufacturer has on fass.se stated that data about environmental impact is missing for the substance. It is voluntary for manufacturers to provide information on the environmental impact on fass.se
tibolone,G03CX01,SummaryThis summary information comes from Fass. ," It cannot be excluded that tibolone is persistent, due to the lack of data", Tibolone has low potential for bioaccumulation," It cannot be excluded that tibolone is toxic, due to the lack of data", 
ticagrelor,B01AC24,Summary, Ticagrelor is not considered to be persistent, Ticagrelor has low potential for bioaccumulation, Ticagrelor has moderate chronic toxicity, The use of ticagrelor (sales data Sweden 2017) has been considered to result in insignificant environmental risk. This summary information about hazard comes from the assessment report for Brilique (ticagrelor) from 2015 and fass.se for Brilique downloaded 2019-10-21. Environmental information is missing on fass.se for ticagrelor (2022-04-26). It is voluntary for manufacturers to provide information on environmental impact on fass.se
ticlopidine,B01AC05,SummaryHazard 6* , 3* , 0 , 3 , Cannot be excluded
timolol,C07AA06,SummaryThis summary information comes from Fass. ," The potential for persistence of timolol cannot be excluded, due to lack of data", Timolol has low potential for bioaccumulation, No data, 
tinidazole,P01AB02,SummaryHazard - , - , - , - , Cannot be excluded Manufacturer has on fass.se stated that data about environmental impact is missing for the substance. It is voluntary for manufacturers to provide information on the environmental impact on fass.se
tinzaparin,B01AB10,SummaryThe use of carbohydrates is not considered to have any environmental impact. This summary information comes from Fass.,see summary,see summary,see summary,see summary
tioguanine,L01BB03,SummaryHazard 6 , 3 , 0 , 3 , Cannot be excluded 
tiotropiumbromide,R03BB04,"SummaryUnderlying data for P, B and risk are from Fass's environmental information downloaded 2022-01-18. The T value comes from Fass's environmental information downloaded 2011-04-14. ", Tiotropium bromide is potentially persistent, Tiotropium bromide has low potential for bioaccumulation, Tiotropium bromide has moderate acute toxicity, 
tipranavir,J05AE09,SummaryHazard 5 , 3 , 0 , 2 , Insignificant
tirofiban,B01AC17,SummaryHazard 3 , 3 , 0 , 0 , Insignificant 
tobramycin,J01GB01,SummaryHazard 6 , 3 , 0 , 3 , Insignificant 
tocilizumab,L04AC07,SummaryHazard - , - , - , - , Exempt
tofacitinib,L04AA29,SummaryHazard 5* , 3 , 0 , 2* ," See below According to EMA's assessment report, EMA / CHM"
tolcapone,N04BX01,SummaryHazard - , - , - , - , Cannot be excluded Manufacturer has on fass.se stated that data about environmental impact is missing for the substance. It is voluntary for manufacturers to provide information on the environmental impact on fass.se
tolterodine,G04BD07,SummaryEnvironmental information is missing on fass.se for tolterodine (2021-09-21). It is voluntary for manufacturers to provide information on environmental impact on fass.se. ," It cannot be excluded that tolterodine is persistent, due to the lack of data"," It cannot be excluded that tolterodine bioaccumulates, due to the lack of data"," It cannot be excluded that tolterodine is toxic, due to the lack of data", 
topiramate,N03AX11,"SummaryThis summary information on persistence, biockumulation and toxicity comes from Fass. The risk comes from the Goodpoint report. "," It cannot be excluded that topiramate is persistent, due to the lack of data", Topiramate has low potential for bioaccumulation, Topiramate has moderate acute toxicity, No obvious environmental risk from a Swedish perspective
topotecan,L01XX17,SummaryHazard 1* , 0 , 0 , 1* , Cannot be excluded 
torasemide,C03CA04,SummaryHazard 4 , 3 , 0 , 1 , Insignificant
trabectedin,L01CX01,SummaryHazard - , - , - , - , Cannot be excluded Manufacturer has on fass.se stated that data about environmental impact is missing for the substance. It is voluntary for manufacturers to provide information on the environmental impact on fass.se
tramadol,N02AX02,SummaryHazard - , - , - , - , See below Environmental information for the substance is not available on Fass.se (2019-02-15). It is voluntary for manufacturers to publish environmental impact information on Fass.se
trandolapril,C09AA10,SummaryHazard 6* , 3 , 0 , 3* , Insignificant
tranexamicacid,B02AA02,"SummaryThe use of amino acids, proteins and peptides is not considered to have any environmental impact. This summary information comes from Fass.",see summary,see summary,see summary,see summary
trastuzumab,L01XC03,SummaryHazard - , - , - , - , Exempt 
travoprost,S01EE04,"SummaryThis summary information is from the SPC (Summary of Product Characteristics) for Izba (travoprost) section 5.3 (downloaded 2020-09-08). ""Travoprost is considered a persistent, bioaccumulative and toxic (PBT) substance. Hence, despite the very small amounts of travoprost used by patients in eye drops, a risk to the environment cannot be excluded.""",see summary,see summary,see summary,see summary
tretinoin,D10AD01,SummaryHazard - , - , - , - , Cannot be excluded Manufacturer has on fass.se stated that data about environmental impact is missing for the substance. It is voluntary for manufacturers to provide information on the environmental impact on fass.se
triazolam,N05CD05,SummaryHazard - , - , - , - , Cannot be excluded Manufacturer has on fass.se stated that data about environmental impact is missing for the substance. It is voluntary for manufacturers to provide information on the environmental impact on fass.se
trihexyphenidyl,N04AA01,SummaryHazard - , - , - , - , Cannot be excluded Manufacturer has on fass.se stated that data about environmental impact is missing for the substance. It is voluntary for manufacturers to provide information on the environmental impact on fass.se
trimethoprim,J01EA01,"SummaryThe data on persistence, bioaccumulation and toxicity for trimethoprim are from fass.se. The information on risk comes from the reports by Goodpoint. Trimethoprim is monitored within the framework of EU water legislation.  ", Trimethoprim is potentially persistent, Trimethoprim has low potential for bioaccumulation, Trimethoprim has moderate chronic toxicity, See the reports from Goodpoint. Suggestions on how to reduce emissions of trimethoprim
trimipramine,N06AA06,SummaryHazard 6 , 3 , 0 , 3 , Cannot be excluded 
triptorelin,L02AE04,SummaryHazard - , - , - , - , See below
tropicamide,S01FA06,SummaryHazard - , - , 0 , - , Cannot be excluded 
tropisetron,A04AA03,SummaryHazard 6* , 3 , 3* , 3 , Cannot be excluded 
ulipristal,G03AD02,SummaryThe data on hazard and risk are based on previous environmental information on fass.se. Environmental information is missing (2022-04-11). It is voluntary for manufacturers to provide information about environmental impact on fass.se. ," It cannot be excluded that ulipristal is persistent, due to the lack of data", Ulipristal has the potential to be stored in aquatic organisms," It cannot be excluded that ulipristal is toxic, due to the lack of data", 
urofollitropin,G03GA04,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se (2019-06-14). It is voluntary for manufacturers to provide information about environmental impact on fass.se
ursodeoxycholicacid,A05AA02,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
ustekinumab,L04AC05,SummaryHazard - , - , - , - , Exempt 
valaciclovir,J05AB11,Summary, Valaciclovir is potentially persistent, Valaciclovir has low potential for bioaccumulation, Valaciclovir has low chronic toxicity, The use of valaciclovir (sales data Sweden 2019) has been considered to result in insignificant environmental risk. This summary information comes from Fass
valganciclovir,J05AB14,SummaryHazard 3 , 3 , 0 , 0 , Insignificant 
valproicacid,N03AG01,Summary, Valproic acid is potentially persistent, Valproic acid has low potential for bioaccumulation, Valproic acid has low chronic toxicity, The use of valproic acid (sales data Sweden 2019) has been considered to result in insignificant environmental risk. This summary information comes from Fass
valsartan,C09CA03,SummaryThis summary information comes from the report from Goodpoint. , Valsartan is potentially persistent, Valsartan has high potential for bioaccumulation, Valsartan has low chronic toxicity, See the report from Goodpoint
vardenafil,G04BE09,SummaryHazard 6* , 3 , 0 , 3* , Cannot be excluded 
varenicline,N07BA03,Summary, Varenicline is slowly degrade in the environment, Varenicline has low potential for bioaccumulation, Varenicline has very high chronic toxicity, The use of varenicline (sales data Sweden 2020) has been considered to result in nsignificant environmental risk.This summary information comes from Fass
vecuronium,M03AC03,SummaryHazard - , - , 0 , - , Cannot be excluded 
vedolizumab,L04AA33,SummaryHazard - , - , - , - , Exempt
venlafaxine,N06AX16,SummaryThe data on hazard are based on previous environmental information on fass.se. Environmental information is missing (2021-09-10). It is voluntary for manufacturers to provide information about environmental impact on fass.se. The information on risk comes from the reports by Goodpoint. Venlafaxine is monitored within the framework of EU water legislation. , Venlafaxine is slowly degraded in the environment, Venlafaxine does not have the potential to accumulate in aquatic organisms, Venlafaxine has high acute toxicity, See the reports from Goodpoint. Suggestions on how to reduce emissions of venlafaxine
verapamil,C08DA01,Summary," It cannot be excluded that verapamil is persistent, due to the lack of data", Verapamil has low potential for bioaccumulation, Verapamil has moderate acute toxicity, 
vernakalant,C01BG11,SummaryHazard - , - , 0 , - , Cannot be excluded 
verteporfin,S01LA01,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
